song_name,artist,valence,energy,danceability,tempo,acousticness,liveness,instrumentalness,speechiness,loudness,mood,mood_score
Fuck Off,Yannone,0.339,0.925,0.338,175.159,0.0887,0.641,0,0.427,-4.854,Melancholy,0.6113095000000001
"Darshana - From ""Hridayam""",Hesham Abdul Wahab,0.648,0.631,0.663,98.033,0.232,0.169,0.0131,0.0417,-8.278,Melancholy,0.6190165
Break The Rules,Thaman S,0.508,0.893,0.766,127.961,0.53,0.0565,0.000521,0.0916,-3.956,Melancholy,0.6426555
Aisi Raaton,Anupam Roy,0.538,0.443,0.517,176.035,0.88,0.0989,0.000141,0.0529,-8.946,Melancholy,0.4805125
Nightshade and Cocaine,Love Ghost,0.186,0.724,0.634,115.016,0.0242,0.175,3.93e-05,0.0512,-9.129,Melancholy,0.5274380000000001
"Heer Raanjhana (From ""Bachchhan Paandey"")",Amaal Mallik,0.505,0.614,0.432,169.633,0.511,0.191,0,0.055,-6.782,Melancholy,0.5346664999999999
Nightshade and Cocaine,Love Ghost,0.186,0.724,0.634,115.016,0.0242,0.175,3.93e-05,0.0512,-9.129,Melancholy,0.5274380000000001
Cardigan Loop,OURGRND,0.136,0.297,0.398,111.894,0.505,0.165,0.923,0.0302,-15.956,Very Sad,0.308347
"Heer Raanjhana (From ""Bachchhan Paandey"")",Amaal Mallik,0.505,0.614,0.432,169.633,0.511,0.191,0,0.055,-6.782,Melancholy,0.5346664999999999
Life Of Ram,Pradeep Kumar,0.388,0.559,0.661,90.009,0.21,0.116,0.000118,0.0508,-8.829,Melancholy,0.5181545000000001
Idhe Kadha Nee Katha,Vijay Prakash,0.534,0.487,0.623,122.891,0.904,0.441,4.92e-05,0.0412,-8.83,Melancholy,0.4996455
Hey Badhulu Cheppavey,Haricharan,0.828,0.494,0.701,142.981,0.522,0.0801,5.88e-05,0.0403,-9.607,Melancholy,0.6353955
Emai Pothane,Praveen Lakkaraju,0.731,0.456,0.704,138.026,0.742,0.318,1.68e-06,0.0299,-8.63,Melancholy,0.584813
Emai Pothane,Praveen Lakkaraju,0.731,0.456,0.704,138.026,0.742,0.318,1.68e-06,0.0299,-8.63,Melancholy,0.584813
Yevevo,Akhil Akkineni,0.405,0.328,0.621,114.967,0.752,0.211,0,0.0302,-9.358,Very Sad,0.4205335
Hulala,"Sweekar Agasthi, Silvia Anisha",0.585,0.8,0.751,128.001,0.329,0.303,1.88e-06,0.0395,-4.989,Upbeat/Happy,0.6719505000000001
Chitti Adugu,Zia Ul Haq,0.306,0.804,0.684,109.929,0.143,0.0796,0,0.063,-5.916,Melancholy,0.5742444999999999
Yemaiundacho,Vijai Bulganin,0.464,0.589,0.69,119.98,0.146,0.102,0,0.0313,-8.603,Melancholy,0.57494
Unakku Thaan,Santhosh Narayanan,0.559,0.389,0.578,139.64,0.875,0.0973,1.28e-06,0.0304,-5.439,Melancholy,0.467735
Evo Evo Kalale,Jonita Gandhi,0.691,0.733,0.595,144.959,0.346,0.146,0,0.0724,-10.085,Upbeat/Happy,0.6547295
Bad Romance,Jay Smith,0.596,0.934,0.612,119.006,0.0056,0.467,0.000379,0.032,-3.772,Upbeat/Happy,0.7169929999999999
Gaali Vaaluga,Anirudh Ravichander,0.614,0.81,0.677,110.044,0.643,0.168,3e-06,0.0378,-6.192,Melancholy,0.6212219999999999
Older,Sasha Alex Sloan,0.162,0.292,0.681,64.002,0.743,0.0974,0,0.0483,-9.599,Very Sad,0.320371
Ee Hridayam,A.R. Rahman,0.705,0.794,0.611,85.986,0.3,0.0471,0.00184,0.0415,-6.813,Melancholy,0.647548
Ae Dil Hai Mushkil Title Track,Pritam,0.35,0.654,0.495,123.896,0.713,0.165,0,0.0679,-6.639,Melancholy,0.46639800000000003
Ae Dil Hai Mushkil Title Track,Pritam,0.35,0.654,0.495,123.896,0.713,0.165,0,0.0679,-6.639,Melancholy,0.46639800000000003
"Manike (From ""Thank God"")",Yohani,0.509,0.578,0.551,106.772,0.522,0.073,0,0.0732,-7.005,Melancholy,0.512236
Daylight,David Kushner,0.324,0.43,0.508,130.09,0.83,0.093,0.000441,0.0335,-9.475,Very Sad,0.39299500000000004
"Inthandham (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar,0.662,0.37,0.652,99.894,0.661,0.109,0,0.0604,-9.922,Melancholy,0.5107970000000001
"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",Hiphop Tamizha,0.551,0.818,0.631,108.065,0.11,0.091,0,0.0338,-3.922,Melancholy,0.6435825000000001
Zara Zara,Rahul Jain,0.366,0.294,0.622,122.048,0.911,0.141,1.27e-06,0.0307,-9.986,Very Sad,0.384674
Odiyamma,Dhruv Vikram,0.772,0.698,0.751,103.992,0.615,0.0791,0,0.153,-7.54,Upbeat/Happy,0.6507510000000001
Ninnila,Thaman S,0.277,0.467,0.699,128.989,0.505,0.152,2.5e-06,0.0298,-6.363,Melancholy,0.4612445
Toliprema,Thaman S,0.264,0.701,0.467,125.923,0.827,0.108,0,0.0384,-5.706,Very Sad,0.4335115
Asha Pasham,Anurag Kulkarni,0.531,0.439,0.469,179.474,0.803,0.198,0,0.0413,-8.204,Melancholy,0.48218700000000003
"Ninnu Chuse Anandamlo (From ""Gang Leader"")",Anirudh Ravichander,0.407,0.73,0.679,139.948,0.245,0.116,1.72e-05,0.0488,-5.01,Melancholy,0.591674
Naalo Chilipi Kala (Theme Song),Yazin Nizar,0.707,0.501,0.805,84.999,0.589,0.429,2.86e-05,0.0514,-5.243,Melancholy,0.6033995
Cardigan Loop,OURGRND,0.136,0.297,0.398,111.894,0.505,0.165,0.923,0.0302,-15.956,Very Sad,0.308347
Naalo Chilipi Kala (Theme Song),Yazin Nizar,0.707,0.501,0.805,84.999,0.589,0.429,2.86e-05,0.0514,-5.243,Melancholy,0.6033995
Choosi Chudangane,Anurag Kulkarni,0.375,0.68,0.635,123.018,0.348,0.224,0,0.0389,-7.169,Melancholy,0.547409
Soulmate,Badshah,0.604,0.553,0.664,99.93,0.616,0.157,0,0.0376,-7.555,Melancholy,0.5484650000000001
Aaj Bhi 2,Vishal Mishra,0.258,0.328,0.452,102.084,0.665,0.104,5.38e-06,0.03,-11.344,Very Sad,0.33954199999999995
Tum Prem Ho - Reprise,Mohit Lalwani,0.296,0.446,0.698,109.969,0.872,0.0736,3.21e-05,0.028,-11.845,Very Sad,0.41136449999999997
"Halka Halka (From ""Fanney Khan"")",Sunidhi Chauhan,0.541,0.796,0.691,127.985,0.0495,0.333,0,0.0387,-4.778,Upbeat/Happy,0.6751925
Khoya Khoya,Sachin-Jigar,0.45,0.792,0.454,174.017,0.329,0.446,3.78e-05,0.113,-5.851,Melancholy,0.6002085
Dil Chahta Hai,Shankar Mahadevan,0.782,0.554,0.813,103.953,0.0906,0.0629,1.23e-06,0.04,-9.105,Upbeat/Happy,0.6817614999999999
Iktara - Male Version,Amit Trivedi,0.521,0.43,0.672,79.99,0.75,0.262,1.1e-05,0.0319,-7.431,Melancholy,0.476295
Pani Da Rang - Male Vocals,Ayushmann Khurrana,0.454,0.618,0.441,98.031,0.295,0.105,6.65e-05,0.0386,-8.511,Melancholy,0.5036655
Laagi Lagan Shankara,Hansraj Raghuwanshi,0.523,0.903,0.469,152.203,0.178,0.0966,0,0.121,-3.155,Melancholy,0.6395815000000001
Atrangi Yaari,Rochak Kohli,0.482,0.474,0.602,92.07,0.731,0.112,0,0.0247,-6.3,Melancholy,0.462035
